lang,task,test_accuracy,test_duration
ent,write,0.964,0 days 00:00:58.363056
ent,read,0.964,0 days 00:00:58.270563
eno,write,0.0,0 days 00:00:57.763276
eno,read,0.0,0 days 00:00:57.824278
ar,write,0.724,0 days 00:00:57.618945
ar,read,0.935,0 days 00:00:57.677852
br,write,0.631,0 days 00:00:57.512120
br,read,0.52,0 days 00:00:57.603584
de,write,0.38,0 days 00:00:57.780941
de,read,0.378,0 days 00:00:57.777299
en,write,0.17,0 days 00:00:57.546102
en,read,0.154,0 days 00:00:57.588564
eo,write,0.955,0 days 00:00:57.661305
eo,read,0.966,0 days 00:00:57.685199
es,write,0.529,0 days 00:00:57.673367
es,read,0.74,0 days 00:00:57.692252
fi,write,0.866,0 days 00:00:57.797012
fi,read,0.691,0 days 00:00:57.748184
fr,write,0.165,0 days 00:00:57.771050
fr,read,0.472,0 days 00:00:57.785247
fro,write,0.914,0 days 00:00:57.871074
fro,read,0.838,0 days 00:00:57.807489
it,write,0.88,0 days 00:00:57.760031
it,read,0.537,0 days 00:00:57.711866
ko,write,0.659,0 days 00:00:57.729138
ko,read,0.802,0 days 00:00:57.643270
nl,write,0.44,0 days 00:00:57.575342
nl,read,0.306,0 days 00:00:57.627471
pt,write,0.528,0 days 00:00:57.657854
pt,read,0.487,0 days 00:00:57.708776
ru,write,0.263,0 days 00:00:57.833186
ru,read,0.823,0 days 00:00:57.798390
sh,write,0.951,0 days 00:00:57.653332
sh,read,0.343,0 days 00:00:57.745498
tr,write,0.881,0 days 00:00:57.794382
tr,read,0.569,0 days 00:00:57.732428
zh,write,0.007,0 days 00:00:57.818867
zh,read,0.168,0 days 00:00:57.008521
ent,write,0.932,0 days 00:00:58.008466
ent,read,0.97,0 days 00:00:57.784528
eno,write,0.0,0 days 00:00:57.797610
eno,read,0.0,0 days 00:00:57.776293
ar,write,0.728,0 days 00:00:57.578969
ar,read,0.947,0 days 00:00:57.649828
br,write,0.592,0 days 00:00:57.476758
br,read,0.496,0 days 00:00:57.595743
de,write,0.4,0 days 00:00:57.762797
de,read,0.396,0 days 00:00:57.851575
en,write,0.138,0 days 00:00:57.552648
en,read,0.177,0 days 00:00:57.572619
eo,write,0.93,0 days 00:00:57.649373
eo,read,0.973,0 days 00:00:57.615788
es,write,0.505,0 days 00:00:57.624384
es,read,0.682,0 days 00:00:57.686338
fi,write,0.882,0 days 00:00:57.736787
fi,read,0.711,0 days 00:00:57.730114
fr,write,0.183,0 days 00:00:57.635900
fr,read,0.542,0 days 00:00:57.764538
fro,write,0.913,0 days 00:00:57.669460
fro,read,0.83,0 days 00:00:57.791200
it,write,0.867,0 days 00:00:57.644478
it,read,0.543,0 days 00:00:57.705051
ko,write,0.644,0 days 00:00:57.700348
ko,read,0.807,0 days 00:00:57.596247
nl,write,0.45,0 days 00:00:57.532301
nl,read,0.325,0 days 00:00:57.619982
pt,write,0.533,0 days 00:00:57.519363
pt,read,0.529,0 days 00:00:57.639373
ru,write,0.243,0 days 00:00:57.748228
ru,read,0.83,0 days 00:00:57.768331
sh,write,0.941,0 days 00:00:57.674326
sh,read,0.351,0 days 00:00:57.702789
tr,write,0.881,0 days 00:00:57.707800
tr,read,0.666,0 days 00:00:57.665976
zh,write,0.006,0 days 00:00:57.739830
zh,read,0.136,0 days 00:00:57.031941
ent,write,0.968,0 days 00:00:57.889152
ent,read,0.973,0 days 00:00:57.741484
eno,write,0.0,0 days 00:00:57.718708
eno,read,0.0,0 days 00:00:57.689622
ar,write,0.716,0 days 00:00:57.556774
ar,read,0.932,0 days 00:00:57.612718
br,write,0.599,0 days 00:00:57.440507
br,read,0.466,0 days 00:00:57.501445
de,write,0.426,0 days 00:00:57.668534
de,read,0.365,0 days 00:00:57.755620
en,write,0.16,0 days 00:00:57.438139
en,read,0.17,0 days 00:00:57.523631
eo,write,0.965,0 days 00:00:57.605526
eo,read,0.975,0 days 00:00:57.611497
es,write,0.53,0 days 00:00:57.628255
es,read,0.732,0 days 00:00:57.647560
fi,write,0.883,0 days 00:00:57.683132
fi,read,0.717,0 days 00:00:57.739013
fr,write,0.176,0 days 00:00:57.666752
fr,read,0.5,0 days 00:00:57.765983
fro,write,0.919,0 days 00:00:57.724042
fro,read,0.812,0 days 00:00:57.652085
it,write,0.836,0 days 00:00:57.654535
it,read,0.55,0 days 00:00:57.629215
ko,write,0.627,0 days 00:00:57.621003
ko,read,0.773,0 days 00:00:57.571752
nl,write,0.426,0 days 00:00:57.534399
nl,read,0.31,0 days 00:00:57.545229
pt,write,0.543,0 days 00:00:57.535184
pt,read,0.477,0 days 00:00:57.522872
ru,write,0.274,0 days 00:00:57.625869
ru,read,0.831,0 days 00:00:57.684777
sh,write,0.946,0 days 00:00:57.617501
sh,read,0.365,0 days 00:00:57.630723
tr,write,0.869,0 days 00:00:57.665219
tr,read,0.541,0 days 00:00:57.626681
zh,write,0.007,0 days 00:00:57.765979
zh,read,0.165,0 days 00:00:56.912000
