lang,task,test_accuracy,test_duration
ent,write,0.951,0 days 00:00:58.342287
ent,read,0.964,0 days 00:00:58.270863
eno,write,0.0,0 days 00:00:58.191880
eno,read,0.0,0 days 00:00:58.147473
ar,write,0.732,0 days 00:00:58.043006
ar,read,0.927,0 days 00:00:58.031793
br,write,0.645,0 days 00:00:57.903286
br,read,0.531,0 days 00:00:57.955757
de,write,0.423,0 days 00:00:58.173969
de,read,0.433,0 days 00:00:58.166297
en,write,0.17,0 days 00:00:57.972380
en,read,0.161,0 days 00:00:57.946509
eo,write,0.95,0 days 00:00:58.054255
eo,read,0.975,0 days 00:00:58.073113
es,write,0.56,0 days 00:00:58.012759
es,read,0.738,0 days 00:00:58.041470
fi,write,0.913,0 days 00:00:58.103209
fi,read,0.725,0 days 00:00:58.098793
fr,write,0.18,0 days 00:00:58.071128
fr,read,0.542,0 days 00:00:58.107641
fro,write,0.94,0 days 00:00:58.115248
fro,read,0.823,0 days 00:00:58.133905
it,write,0.892,0 days 00:00:58.107059
it,read,0.572,0 days 00:00:58.051095
ko,write,0.617,0 days 00:00:58.083840
ko,read,0.83,0 days 00:00:58.019649
nl,write,0.466,0 days 00:00:57.967453
nl,read,0.363,0 days 00:00:57.982916
pt,write,0.534,0 days 00:00:57.977999
pt,read,0.533,0 days 00:00:57.965702
ru,write,0.258,0 days 00:00:58.078821
ru,read,0.853,0 days 00:00:58.087212
sh,write,0.945,0 days 00:00:58.083645
sh,read,0.36,0 days 00:00:58.040143
tr,write,0.906,0 days 00:00:58.105692
tr,read,0.708,0 days 00:00:58.233966
zh,write,0.005,0 days 00:00:58.115492
zh,read,0.183,0 days 00:00:57.371547
ent,write,0.952,0 days 00:00:58.334057
ent,read,0.972,0 days 00:00:58.225086
eno,write,0.0,0 days 00:00:58.263822
eno,read,0.0,0 days 00:00:57.586124
ar,write,0.718,0 days 00:00:57.546652
ar,read,0.934,0 days 00:00:57.631835
br,write,0.634,0 days 00:00:57.471491
br,read,0.509,0 days 00:00:57.605197
de,write,0.426,0 days 00:00:57.719637
de,read,0.396,0 days 00:00:57.760099
en,write,0.192,0 days 00:00:57.443673
en,read,0.159,0 days 00:00:57.526917
eo,write,0.924,0 days 00:00:57.599441
eo,read,0.977,0 days 00:00:57.634954
es,write,0.479,0 days 00:00:57.523012
es,read,0.684,0 days 00:00:57.569001
fi,write,0.895,0 days 00:00:57.666907
fi,read,0.731,0 days 00:00:57.675974
fr,write,0.159,0 days 00:00:57.619756
fr,read,0.55,0 days 00:00:57.768528
fro,write,0.939,0 days 00:00:57.631276
fro,read,0.84,0 days 00:00:57.618786
it,write,0.832,0 days 00:00:57.632296
it,read,0.566,0 days 00:00:57.653833
ko,write,0.661,0 days 00:00:57.668852
ko,read,0.791,0 days 00:00:57.548230
nl,write,0.449,0 days 00:00:57.509042
nl,read,0.348,0 days 00:00:57.538222
pt,write,0.507,0 days 00:00:57.474284
pt,read,0.514,0 days 00:00:57.566601
ru,write,0.239,0 days 00:00:57.696380
ru,read,0.854,0 days 00:00:57.703789
sh,write,0.941,0 days 00:00:57.617958
sh,read,0.332,0 days 00:00:57.637046
tr,write,0.885,0 days 00:00:57.653877
tr,read,0.628,0 days 00:00:57.718815
zh,write,0.009,0 days 00:00:57.630256
zh,read,0.162,0 days 00:00:56.968390
ent,write,0.96,0 days 00:00:58.072040
ent,read,0.969,0 days 00:00:57.796545
eno,write,0.0,0 days 00:00:57.737054
eno,read,0.0,0 days 00:00:57.786421
ar,write,0.724,0 days 00:00:57.585111
ar,read,0.934,0 days 00:00:57.696338
br,write,0.627,0 days 00:00:57.510203
br,read,0.52,0 days 00:00:57.590688
de,write,0.398,0 days 00:00:57.765716
de,read,0.427,0 days 00:00:57.814451
en,write,0.214,0 days 00:00:57.543583
en,read,0.155,0 days 00:00:57.598876
eo,write,0.956,0 days 00:00:57.661063
eo,read,0.979,0 days 00:00:57.715208
es,write,0.505,0 days 00:00:57.577004
es,read,0.729,0 days 00:00:57.663604
fi,write,0.892,0 days 00:00:57.722488
fi,read,0.758,0 days 00:00:57.758298
fr,write,0.153,0 days 00:00:57.700112
fr,read,0.551,0 days 00:00:57.863766
fro,write,0.922,0 days 00:00:57.765681
fro,read,0.827,0 days 00:00:57.691695
it,write,0.858,0 days 00:00:57.689753
it,read,0.546,0 days 00:00:57.683263
ko,write,0.643,0 days 00:00:57.744764
ko,read,0.802,0 days 00:00:57.617617
nl,write,0.458,0 days 00:00:57.580983
nl,read,0.341,0 days 00:00:57.650578
pt,write,0.535,0 days 00:00:57.639781
pt,read,0.517,0 days 00:00:57.649784
ru,write,0.265,0 days 00:00:57.745661
ru,read,0.877,0 days 00:00:57.745302
sh,write,0.947,0 days 00:00:57.701022
sh,read,0.312,0 days 00:00:57.721948
tr,write,0.897,0 days 00:00:57.703235
tr,read,0.693,0 days 00:00:57.724353
zh,write,0.007,0 days 00:00:57.725640
zh,read,0.172,0 days 00:00:56.991310
ent,write,0.957,0 days 00:00:57.907553
ent,read,0.974,0 days 00:00:57.830708
eno,write,0.0,0 days 00:00:57.766530
eno,read,0.0,0 days 00:00:57.765564
ar,write,0.707,0 days 00:00:57.628300
ar,read,0.932,0 days 00:00:57.765837
br,write,0.638,0 days 00:00:57.576617
br,read,0.499,0 days 00:00:57.711779
de,write,0.415,0 days 00:00:57.797706
de,read,0.373,0 days 00:00:57.907377
en,write,0.19,0 days 00:00:57.535844
en,read,0.172,0 days 00:00:57.636470
eo,write,0.934,0 days 00:00:57.760205
eo,read,0.967,0 days 00:00:57.720993
es,write,0.487,0 days 00:00:57.665704
es,read,0.714,0 days 00:00:57.754978
fi,write,0.884,0 days 00:00:57.806576
fi,read,0.697,0 days 00:00:57.826389
fr,write,0.162,0 days 00:00:57.779479
fr,read,0.491,0 days 00:00:57.886693
fro,write,0.919,0 days 00:00:57.812758
fro,read,0.835,0 days 00:00:57.794964
it,write,0.816,0 days 00:00:57.776470
it,read,0.527,0 days 00:00:57.797810
ko,write,0.676,0 days 00:00:57.767397
ko,read,0.778,0 days 00:00:57.655395
nl,write,0.443,0 days 00:00:57.628810
nl,read,0.291,0 days 00:00:57.732221
pt,write,0.519,0 days 00:00:57.563993
pt,read,0.466,0 days 00:00:57.738802
ru,write,0.238,0 days 00:00:57.816700
ru,read,0.841,0 days 00:00:57.867365
sh,write,0.936,0 days 00:00:57.777349
sh,read,0.359,0 days 00:00:57.715952
tr,write,0.874,0 days 00:00:57.842957
tr,read,0.592,0 days 00:00:57.810372
zh,write,0.003,0 days 00:00:57.837402
zh,read,0.171,0 days 00:00:57.046656
ent,write,0.942,0 days 00:00:58.443086
ent,read,0.974,0 days 00:00:58.342385
eno,write,0.0,0 days 00:00:57.720160
eno,read,0.0,0 days 00:00:57.747968
ar,write,0.698,0 days 00:00:57.622605
ar,read,0.933,0 days 00:00:57.650717
br,write,0.592,0 days 00:00:57.546710
br,read,0.486,0 days 00:00:57.614266
de,write,0.414,0 days 00:00:57.765960
de,read,0.382,0 days 00:00:57.860881
en,write,0.178,0 days 00:00:57.532299
en,read,0.172,0 days 00:00:57.591182
eo,write,0.942,0 days 00:00:57.669305
eo,read,0.979,0 days 00:00:57.704895
es,write,0.488,0 days 00:00:57.631328
es,read,0.687,0 days 00:00:57.669225
fi,write,0.89,0 days 00:00:57.804854
fi,read,0.704,0 days 00:00:57.767896
fr,write,0.166,0 days 00:00:57.675555
fr,read,0.523,0 days 00:00:57.774584
fro,write,0.915,0 days 00:00:57.774655
fro,read,0.825,0 days 00:00:57.748963
it,write,0.824,0 days 00:00:57.722585
it,read,0.491,0 days 00:00:57.718735
ko,write,0.631,0 days 00:00:57.772425
ko,read,0.805,0 days 00:00:57.627068
nl,write,0.418,0 days 00:00:57.577034
nl,read,0.269,0 days 00:00:57.704847
pt,write,0.493,0 days 00:00:57.589437
pt,read,0.465,0 days 00:00:57.648390
ru,write,0.253,0 days 00:00:57.681507
ru,read,0.829,0 days 00:00:57.750239
sh,write,0.923,0 days 00:00:57.723615
sh,read,0.325,0 days 00:00:57.735754
tr,write,0.846,0 days 00:00:57.737399
tr,read,0.613,0 days 00:00:57.762345
zh,write,0.004,0 days 00:00:57.785551
zh,read,0.148,0 days 00:00:56.995719
ent,write,0.907,0 days 00:00:58.511180
ent,read,0.969,0 days 00:00:58.263578
eno,write,0.0,0 days 00:00:58.214747
eno,read,0.0,0 days 00:00:58.215081
ar,write,0.72,0 days 00:00:58.137343
ar,read,0.911,0 days 00:00:58.135084
br,write,0.618,0 days 00:00:57.936832
br,read,0.477,0 days 00:00:57.561119
de,write,0.363,0 days 00:00:57.671239
de,read,0.339,0 days 00:00:57.839132
en,write,0.164,0 days 00:00:57.512722
en,read,0.13,0 days 00:00:57.549099
eo,write,0.94,0 days 00:00:57.637872
eo,read,0.969,0 days 00:00:57.630705
es,write,0.5,0 days 00:00:57.637447
es,read,0.677,0 days 00:00:57.655614
fi,write,0.855,0 days 00:00:57.700091
fi,read,0.662,0 days 00:00:57.741432
fr,write,0.158,0 days 00:00:57.665602
fr,read,0.451,0 days 00:00:57.845814
fro,write,0.901,0 days 00:00:57.666258
fro,read,0.812,0 days 00:00:57.717579
it,write,0.831,0 days 00:00:57.686954
it,read,0.508,0 days 00:00:57.662246
ko,write,0.638,0 days 00:00:57.683528
ko,read,0.79,0 days 00:00:57.565294
nl,write,0.406,0 days 00:00:57.581270
nl,read,0.28,0 days 00:00:57.609420
pt,write,0.496,0 days 00:00:57.524232
pt,read,0.448,0 days 00:00:57.574970
ru,write,0.224,0 days 00:00:57.748283
ru,read,0.818,0 days 00:00:57.715893
sh,write,0.941,0 days 00:00:57.647547
sh,read,0.305,0 days 00:00:57.677265
tr,write,0.857,0 days 00:00:57.738555
tr,read,0.535,0 days 00:00:57.722269
zh,write,0.003,0 days 00:00:57.822522
zh,read,0.128,0 days 00:00:56.906541
ent,write,0.942,0 days 00:00:58.363452
ent,read,0.98,0 days 00:00:58.222264
eno,write,0.0,0 days 00:00:58.140358
eno,read,0.0,0 days 00:00:58.220716
ar,write,0.72,0 days 00:00:58.079732
ar,read,0.94,0 days 00:00:58.125736
br,write,0.581,0 days 00:00:57.529454
br,read,0.488,0 days 00:00:57.624649
de,write,0.412,0 days 00:00:57.765101
de,read,0.413,0 days 00:00:57.889242
en,write,0.168,0 days 00:00:57.485686
en,read,0.151,0 days 00:00:57.626682
eo,write,0.953,0 days 00:00:57.713609
eo,read,0.975,0 days 00:00:57.703068
es,write,0.484,0 days 00:00:57.630352
es,read,0.729,0 days 00:00:57.675865
fi,write,0.883,0 days 00:00:57.698440
fi,read,0.721,0 days 00:00:57.748284
fr,write,0.182,0 days 00:00:57.599079
fr,read,0.514,0 days 00:00:57.797975
fro,write,0.904,0 days 00:00:57.689430
fro,read,0.824,0 days 00:00:57.680250
it,write,0.857,0 days 00:00:57.661539
it,read,0.543,0 days 00:00:57.694869
ko,write,0.674,0 days 00:00:57.646125
ko,read,0.789,0 days 00:00:57.533533
nl,write,0.452,0 days 00:00:57.524245
nl,read,0.312,0 days 00:00:57.564642
pt,write,0.518,0 days 00:00:57.513785
pt,read,0.49,0 days 00:00:57.597406
ru,write,0.23,0 days 00:00:57.689801
ru,read,0.835,0 days 00:00:57.721521
sh,write,0.936,0 days 00:00:57.656163
sh,read,0.369,0 days 00:00:57.623088
tr,write,0.885,0 days 00:00:57.702898
tr,read,0.66,0 days 00:00:57.689779
zh,write,0.001,0 days 00:00:57.700493
zh,read,0.156,0 days 00:00:56.972821
ent,write,0.973,0 days 00:00:58.489195
ent,read,0.981,0 days 00:00:58.133929
eno,write,0.0,0 days 00:00:57.868070
eno,read,0.0,0 days 00:00:57.862163
ar,write,0.718,0 days 00:00:57.693989
ar,read,0.943,0 days 00:00:57.774845
br,write,0.611,0 days 00:00:57.656075
br,read,0.502,0 days 00:00:57.706164
de,write,0.4,0 days 00:00:57.894533
de,read,0.385,0 days 00:00:57.903830
en,write,0.164,0 days 00:00:57.678353
en,read,0.149,0 days 00:00:57.706983
eo,write,0.945,0 days 00:00:57.776200
eo,read,0.975,0 days 00:00:57.781229
es,write,0.549,0 days 00:00:57.703159
es,read,0.751,0 days 00:00:57.759531
fi,write,0.891,0 days 00:00:57.888226
fi,read,0.728,0 days 00:00:57.839782
fr,write,0.156,0 days 00:00:57.751791
fr,read,0.47,0 days 00:00:57.947365
fro,write,0.933,0 days 00:00:57.806839
fro,read,0.825,0 days 00:00:57.783897
it,write,0.861,0 days 00:00:57.746153
it,read,0.569,0 days 00:00:57.838761
ko,write,0.651,0 days 00:00:57.792277
ko,read,0.747,0 days 00:00:57.700710
nl,write,0.439,0 days 00:00:57.674100
nl,read,0.295,0 days 00:00:57.681967
pt,write,0.561,0 days 00:00:57.645117
pt,read,0.465,0 days 00:00:57.733235
ru,write,0.237,0 days 00:00:57.826252
ru,read,0.815,0 days 00:00:57.840727
sh,write,0.938,0 days 00:00:57.750782
sh,read,0.343,0 days 00:00:57.825995
tr,write,0.882,0 days 00:00:57.768650
tr,read,0.546,0 days 00:00:57.809726
zh,write,0.003,0 days 00:00:57.828692
zh,read,0.184,0 days 00:00:57.059254
