lang,task,test_accuracy,test_duration
ent,write,0.991,0 days 00:00:59.141079
ent,read,0.992,0 days 00:00:58.882170
eno,write,0.0,0 days 00:00:58.423394
eno,read,0.0,0 days 00:00:58.410737
ar,write,0.8,0 days 00:00:58.254316
ar,read,0.981,0 days 00:00:58.363535
br,write,0.713,0 days 00:00:58.166043
br,read,0.721,0 days 00:00:58.188198
de,write,0.585,0 days 00:00:58.443969
de,read,0.653,0 days 00:00:58.484917
en,write,0.284,0 days 00:00:58.132152
en,read,0.25,0 days 00:00:58.198979
eo,write,0.984,0 days 00:00:58.343301
eo,read,0.995,0 days 00:00:58.352764
es,write,0.626,0 days 00:00:58.252959
es,read,0.819,0 days 00:00:58.281281
fi,write,0.955,0 days 00:00:58.383363
fi,read,0.876,0 days 00:00:58.393494
fr,write,0.235,0 days 00:00:58.357042
fr,read,0.766,0 days 00:00:58.477929
fro,write,0.973,0 days 00:00:58.366130
fro,read,0.879,0 days 00:00:58.357952
it,write,0.925,0 days 00:00:58.361181
it,read,0.689,0 days 00:00:58.314004
ko,write,0.788,0 days 00:00:58.365512
ko,read,0.922,0 days 00:00:58.233765
nl,write,0.606,0 days 00:00:58.278830
nl,read,0.494,0 days 00:00:58.270197
pt,write,0.645,0 days 00:00:58.229729
pt,read,0.718,0 days 00:00:58.199369
ru,write,0.31,0 days 00:00:58.471541
ru,read,0.943,0 days 00:00:58.547599
sh,write,0.982,0 days 00:00:58.367444
sh,read,0.415,0 days 00:00:58.305303
tr,write,0.939,0 days 00:00:58.402439
tr,read,0.912,0 days 00:00:58.387451
zh,write,0.061,0 days 00:00:58.336083
zh,read,0.516,0 days 00:00:57.496857
ent,write,0.969,0 days 00:00:58.564004
ent,read,0.996,0 days 00:00:58.441506
eno,write,0.0,0 days 00:00:58.445685
eno,read,0.0,0 days 00:00:58.463710
ar,write,0.776,0 days 00:00:58.268015
ar,read,0.982,0 days 00:00:58.353879
br,write,0.724,0 days 00:00:58.123829
br,read,0.71,0 days 00:00:58.308141
de,write,0.586,0 days 00:00:58.416728
de,read,0.65,0 days 00:00:58.486942
en,write,0.276,0 days 00:00:58.159559
en,read,0.251,0 days 00:00:58.207598
eo,write,0.991,0 days 00:00:58.371469
eo,read,0.991,0 days 00:00:58.284936
es,write,0.625,0 days 00:00:58.309349
es,read,0.835,0 days 00:00:58.345060
fi,write,0.965,0 days 00:00:58.372117
fi,read,0.869,0 days 00:00:58.421807
fr,write,0.228,0 days 00:00:58.347041
fr,read,0.716,0 days 00:00:58.493151
fro,write,0.982,0 days 00:00:58.403883
fro,read,0.869,0 days 00:00:58.381049
it,write,0.94,0 days 00:00:58.351276
it,read,0.647,0 days 00:00:58.346905
ko,write,0.767,0 days 00:00:58.383098
ko,read,0.931,0 days 00:00:58.235576
nl,write,0.621,0 days 00:00:58.192592
nl,read,0.441,0 days 00:00:58.309437
pt,write,0.682,0 days 00:00:58.174323
pt,read,0.705,0 days 00:00:58.243773
ru,write,0.318,0 days 00:00:58.445532
ru,read,0.939,0 days 00:00:58.465013
sh,write,0.976,0 days 00:00:58.355539
sh,read,0.482,0 days 00:00:58.396073
tr,write,0.933,0 days 00:00:58.446132
tr,read,0.852,0 days 00:00:58.455635
zh,write,0.05,0 days 00:00:58.427235
zh,read,0.507,0 days 00:00:57.550751
ent,write,0.987,0 days 00:00:58.597215
ent,read,0.992,0 days 00:00:58.511210
eno,write,0.0,0 days 00:00:58.421175
eno,read,0.0,0 days 00:00:58.465428
ar,write,0.778,0 days 00:00:58.261000
ar,read,0.98,0 days 00:00:58.346537
br,write,0.714,0 days 00:00:58.139370
br,read,0.72,0 days 00:00:58.253204
de,write,0.61,0 days 00:00:58.454216
de,read,0.665,0 days 00:00:58.551497
en,write,0.264,0 days 00:00:58.202433
en,read,0.241,0 days 00:00:58.213386
eo,write,0.977,0 days 00:00:58.321644
eo,read,0.995,0 days 00:00:58.358985
es,write,0.579,0 days 00:00:58.302577
es,read,0.824,0 days 00:00:58.340490
fi,write,0.967,0 days 00:00:58.449599
fi,read,0.874,0 days 00:00:58.432725
fr,write,0.243,0 days 00:00:58.363515
fr,read,0.704,0 days 00:00:58.482728
fro,write,0.975,0 days 00:00:58.414920
fro,read,0.88,0 days 00:00:58.425761
it,write,0.925,0 days 00:00:58.371719
it,read,0.663,0 days 00:00:58.366188
ko,write,0.766,0 days 00:00:58.431682
ko,read,0.945,0 days 00:00:58.276423
nl,write,0.611,0 days 00:00:58.225253
nl,read,0.497,0 days 00:00:58.323471
pt,write,0.656,0 days 00:00:58.240095
pt,read,0.713,0 days 00:00:58.259101
ru,write,0.341,0 days 00:00:58.441346
ru,read,0.947,0 days 00:00:58.474103
sh,write,0.973,0 days 00:00:58.330211
sh,read,0.473,0 days 00:00:58.331885
tr,write,0.937,0 days 00:00:58.449798
tr,read,0.896,0 days 00:00:58.411759
zh,write,0.052,0 days 00:00:58.426739
zh,read,0.509,0 days 00:00:57.612706
ent,write,0.992,0 days 00:00:58.496726
ent,read,0.992,0 days 00:00:58.426035
eno,write,0.0,0 days 00:00:58.407096
eno,read,0.0,0 days 00:00:58.432165
ar,write,0.79,0 days 00:00:58.273000
ar,read,0.98,0 days 00:00:58.390405
br,write,0.701,0 days 00:00:58.431403
br,read,0.684,0 days 00:00:58.253807
de,write,0.576,0 days 00:00:58.444647
de,read,0.651,0 days 00:00:58.562641
en,write,0.261,0 days 00:00:58.104895
en,read,0.264,0 days 00:00:58.252268
eo,write,0.979,0 days 00:00:58.349647
eo,read,0.984,0 days 00:00:58.349688
es,write,0.61,0 days 00:00:58.316506
es,read,0.839,0 days 00:00:58.354834
fi,write,0.945,0 days 00:00:58.416107
fi,read,0.864,0 days 00:00:58.436287
fr,write,0.214,0 days 00:00:58.320460
fr,read,0.714,0 days 00:00:58.506749
fro,write,0.978,0 days 00:00:58.416683
fro,read,0.878,0 days 00:00:58.341574
it,write,0.926,0 days 00:00:58.320535
it,read,0.642,0 days 00:00:58.437532
ko,write,0.765,0 days 00:00:58.356305
ko,read,0.949,0 days 00:00:58.222141
nl,write,0.61,0 days 00:00:58.220883
nl,read,0.462,0 days 00:00:58.331940
pt,write,0.674,0 days 00:00:58.200595
pt,read,0.702,0 days 00:00:58.315154
ru,write,0.322,0 days 00:00:58.436059
ru,read,0.944,0 days 00:00:58.471229
sh,write,0.973,0 days 00:00:58.324537
sh,read,0.435,0 days 00:00:58.384219
tr,write,0.935,0 days 00:00:58.376236
tr,read,0.889,0 days 00:00:58.436601
zh,write,0.049,0 days 00:00:58.407054
zh,read,0.532,0 days 00:00:57.530187
ent,write,0.991,0 days 00:00:58.705960
ent,read,0.999,0 days 00:00:58.565648
eno,write,0.0,0 days 00:00:58.479969
eno,read,0.0,0 days 00:00:58.508387
ar,write,0.795,0 days 00:00:58.350412
ar,read,0.979,0 days 00:00:58.467090
br,write,0.765,0 days 00:00:58.191410
br,read,0.682,0 days 00:00:58.309442
de,write,0.612,0 days 00:00:58.494271
de,read,0.669,0 days 00:00:58.563250
en,write,0.286,0 days 00:00:58.287825
en,read,0.287,0 days 00:00:58.275158
eo,write,0.973,0 days 00:00:58.400222
eo,read,0.994,0 days 00:00:58.394349
es,write,0.606,0 days 00:00:58.317634
es,read,0.857,0 days 00:00:58.409443
fi,write,0.97,0 days 00:00:58.479207
fi,read,0.88,0 days 00:00:58.471353
fr,write,0.221,0 days 00:00:58.426102
fr,read,0.698,0 days 00:00:58.503919
fro,write,0.972,0 days 00:00:58.441672
fro,read,0.866,0 days 00:00:58.453337
it,write,0.933,0 days 00:00:58.380719
it,read,0.65,0 days 00:00:58.386487
ko,write,0.789,0 days 00:00:58.407818
ko,read,0.927,0 days 00:00:58.392097
nl,write,0.649,0 days 00:00:58.299184
nl,read,0.491,0 days 00:00:58.359678
pt,write,0.655,0 days 00:00:58.266169
pt,read,0.739,0 days 00:00:58.320335
ru,write,0.325,0 days 00:00:58.454182
ru,read,0.947,0 days 00:00:58.482880
sh,write,0.983,0 days 00:00:58.399270
sh,read,0.414,0 days 00:00:58.385525
tr,write,0.946,0 days 00:00:58.406430
tr,read,0.863,0 days 00:00:58.403179
zh,write,0.037,0 days 00:00:58.480459
zh,read,0.538,0 days 00:00:57.554555
ent,write,0.991,0 days 00:00:58.759001
ent,read,0.997,0 days 00:00:58.641477
eno,write,0.0,0 days 00:00:58.568294
eno,read,0.0,0 days 00:00:58.595160
ar,write,0.81,0 days 00:00:58.428412
ar,read,0.974,0 days 00:00:58.538727
br,write,0.731,0 days 00:00:58.262490
br,read,0.692,0 days 00:00:58.438167
de,write,0.588,0 days 00:00:58.558784
de,read,0.646,0 days 00:00:58.703986
en,write,0.275,0 days 00:00:58.360375
en,read,0.262,0 days 00:00:58.384388
eo,write,0.978,0 days 00:00:58.470615
eo,read,0.99,0 days 00:00:58.476441
es,write,0.611,0 days 00:00:58.393780
es,read,0.802,0 days 00:00:58.490313
fi,write,0.966,0 days 00:00:58.565756
fi,read,0.867,0 days 00:00:58.586081
fr,write,0.211,0 days 00:00:58.501072
fr,read,0.676,0 days 00:00:58.678216
fro,write,0.977,0 days 00:00:58.571687
fro,read,0.875,0 days 00:00:58.607854
it,write,0.908,0 days 00:00:58.483035
it,read,0.646,0 days 00:00:58.539385
ko,write,0.779,0 days 00:00:58.531520
ko,read,0.939,0 days 00:00:58.458612
nl,write,0.628,0 days 00:00:58.369847
nl,read,0.478,0 days 00:00:58.502582
pt,write,0.649,0 days 00:00:58.369392
pt,read,0.722,0 days 00:00:58.388981
ru,write,0.341,0 days 00:00:58.587501
ru,read,0.949,0 days 00:00:58.626653
sh,write,0.982,0 days 00:00:58.510149
sh,read,0.472,0 days 00:00:58.500819
tr,write,0.935,0 days 00:00:58.531239
tr,read,0.89,0 days 00:00:58.586017
zh,write,0.047,0 days 00:00:58.531328
zh,read,0.507,0 days 00:00:57.717530
ent,write,0.986,0 days 00:00:59.122839
ent,read,0.986,0 days 00:00:59.048225
eno,write,0.0,0 days 00:00:59.030537
eno,read,0.0,0 days 00:00:58.984653
ar,write,0.789,0 days 00:00:58.849500
ar,read,0.979,0 days 00:00:58.900024
br,write,0.733,0 days 00:00:58.677262
br,read,0.705,0 days 00:00:58.214873
de,write,0.587,0 days 00:00:58.491670
de,read,0.65,0 days 00:00:58.568761
en,write,0.28,0 days 00:00:58.245981
en,read,0.271,0 days 00:00:58.377531
eo,write,0.988,0 days 00:00:58.498447
eo,read,0.986,0 days 00:00:58.527510
es,write,0.602,0 days 00:00:58.391194
es,read,0.823,0 days 00:00:58.477362
fi,write,0.954,0 days 00:00:58.550441
fi,read,0.887,0 days 00:00:58.566903
fr,write,0.214,0 days 00:00:58.472524
fr,read,0.738,0 days 00:00:58.611626
fro,write,0.971,0 days 00:00:58.535253
fro,read,0.863,0 days 00:00:58.577440
it,write,0.916,0 days 00:00:58.463631
it,read,0.653,0 days 00:00:58.449889
ko,write,0.778,0 days 00:00:58.580432
ko,read,0.948,0 days 00:00:58.400018
nl,write,0.636,0 days 00:00:58.344175
nl,read,0.485,0 days 00:00:58.452458
pt,write,0.672,0 days 00:00:58.312891
pt,read,0.714,0 days 00:00:58.454218
ru,write,0.364,0 days 00:00:58.522427
ru,read,0.951,0 days 00:00:58.576917
sh,write,0.982,0 days 00:00:58.461013
sh,read,0.455,0 days 00:00:58.452848
tr,write,0.944,0 days 00:00:58.504940
tr,read,0.893,0 days 00:00:58.527438
zh,write,0.053,0 days 00:00:58.535874
zh,read,0.521,0 days 00:00:57.699773
ent,write,0.989,0 days 00:00:59.132796
ent,read,0.993,0 days 00:00:59.027168
eno,write,0.0,0 days 00:00:59.034876
eno,read,0.0,0 days 00:00:58.848822
ar,write,0.796,0 days 00:00:58.264517
ar,read,0.987,0 days 00:00:58.418396
br,write,0.74,0 days 00:00:58.172310
br,read,0.705,0 days 00:00:58.435357
de,write,0.575,0 days 00:00:58.445173
de,read,0.672,0 days 00:00:58.644985
en,write,0.256,0 days 00:00:58.146866
en,read,0.253,0 days 00:00:58.467959
eo,write,0.972,0 days 00:00:58.391271
eo,read,0.99,0 days 00:00:58.366087
es,write,0.609,0 days 00:00:58.480493
es,read,0.815,0 days 00:00:58.387221
fi,write,0.956,0 days 00:00:58.481979
fi,read,0.874,0 days 00:00:58.527410
fr,write,0.218,0 days 00:00:58.404111
fr,read,0.725,0 days 00:00:58.563879
fro,write,0.977,0 days 00:00:58.403125
fro,read,0.884,0 days 00:00:58.419794
it,write,0.918,0 days 00:00:58.371724
it,read,0.665,0 days 00:00:58.440725
ko,write,0.789,0 days 00:00:58.419704
ko,read,0.948,0 days 00:00:58.380183
nl,write,0.623,0 days 00:00:58.227320
nl,read,0.493,0 days 00:00:58.348024
pt,write,0.648,0 days 00:00:58.229526
pt,read,0.734,0 days 00:00:58.287157
ru,write,0.32,0 days 00:00:58.467935
ru,read,0.94,0 days 00:00:58.484645
sh,write,0.99,0 days 00:00:58.394690
sh,read,0.456,0 days 00:00:58.399595
tr,write,0.937,0 days 00:00:58.457056
tr,read,0.896,0 days 00:00:58.467690
zh,write,0.051,0 days 00:00:58.400423
zh,read,0.519,0 days 00:00:57.610793
ent,write,0.997,0 days 00:00:58.717753
ent,read,0.996,0 days 00:00:58.503640
eno,write,0.0,0 days 00:00:58.494499
eno,read,0.0,0 days 00:00:58.566875
ar,write,0.791,0 days 00:00:58.297902
ar,read,0.975,0 days 00:00:58.396831
br,write,0.739,0 days 00:00:58.240191
br,read,0.711,0 days 00:00:58.306297
de,write,0.542,0 days 00:00:58.521934
de,read,0.624,0 days 00:00:58.543938
en,write,0.246,0 days 00:00:58.214617
en,read,0.258,0 days 00:00:58.350226
eo,write,0.991,0 days 00:00:58.447687
eo,read,0.996,0 days 00:00:58.397826
es,write,0.618,0 days 00:00:58.370825
es,read,0.827,0 days 00:00:58.417858
fi,write,0.965,0 days 00:00:58.491073
fi,read,0.874,0 days 00:00:58.547081
fr,write,0.248,0 days 00:00:58.439930
fr,read,0.719,0 days 00:00:58.607113
fro,write,0.979,0 days 00:00:58.524122
fro,read,0.854,0 days 00:00:58.503465
it,write,0.9,0 days 00:00:58.419653
it,read,0.668,0 days 00:00:58.473421
ko,write,0.76,0 days 00:00:58.483648
ko,read,0.945,0 days 00:00:58.373309
nl,write,0.612,0 days 00:00:58.307087
nl,read,0.468,0 days 00:00:58.349373
pt,write,0.649,0 days 00:00:58.314923
pt,read,0.732,0 days 00:00:58.335123
ru,write,0.362,0 days 00:00:58.464876
ru,read,0.938,0 days 00:00:58.521089
sh,write,0.984,0 days 00:00:58.452687
sh,read,0.465,0 days 00:00:58.462726
tr,write,0.93,0 days 00:00:58.531951
tr,read,0.88,0 days 00:00:58.509654
zh,write,0.068,0 days 00:00:58.470133
zh,read,0.529,0 days 00:00:57.636263
ent,write,0.991,0 days 00:00:58.674206
ent,read,0.994,0 days 00:00:58.481760
eno,write,0.0,0 days 00:00:58.458518
eno,read,0.0,0 days 00:00:58.394836
ar,write,0.79,0 days 00:00:58.265398
ar,read,0.982,0 days 00:00:58.377245
br,write,0.711,0 days 00:00:58.185655
br,read,0.666,0 days 00:00:58.198944
de,write,0.542,0 days 00:00:58.483255
de,read,0.649,0 days 00:00:58.465167
en,write,0.264,0 days 00:00:58.145417
en,read,0.272,0 days 00:00:58.176414
eo,write,0.977,0 days 00:00:58.325981
eo,read,0.989,0 days 00:00:58.375139
es,write,0.626,0 days 00:00:58.272622
es,read,0.831,0 days 00:00:58.334073
fi,write,0.959,0 days 00:00:58.416904
fi,read,0.886,0 days 00:00:58.437043
fr,write,0.257,0 days 00:00:58.352420
fr,read,0.706,0 days 00:00:58.429496
fro,write,0.981,0 days 00:00:58.449136
fro,read,0.875,0 days 00:00:58.458429
it,write,0.926,0 days 00:00:58.316701
it,read,0.658,0 days 00:00:58.326947
ko,write,0.774,0 days 00:00:58.402785
ko,read,0.942,0 days 00:00:58.286342
nl,write,0.618,0 days 00:00:58.243561
nl,read,0.483,0 days 00:00:58.269697
pt,write,0.681,0 days 00:00:58.193916
pt,read,0.747,0 days 00:00:58.252037
ru,write,0.328,0 days 00:00:58.414166
ru,read,0.942,0 days 00:00:58.425584
sh,write,0.982,0 days 00:00:58.327901
sh,read,0.409,0 days 00:00:58.324707
tr,write,0.952,0 days 00:00:58.342300
tr,read,0.908,0 days 00:00:58.388624
zh,write,0.072,0 days 00:00:58.397644
zh,read,0.556,0 days 00:00:57.531341
ent,write,0.958,0 days 00:00:58.820594
ent,read,0.992,0 days 00:00:58.673448
eno,write,0.0,0 days 00:00:58.639470
eno,read,0.0,0 days 00:00:58.637891
ar,write,0.823,0 days 00:00:58.463453
ar,read,0.977,0 days 00:00:58.467437
br,write,0.72,0 days 00:00:58.383533
br,read,0.686,0 days 00:00:58.472718
de,write,0.569,0 days 00:00:58.633276
de,read,0.597,0 days 00:00:58.744043
en,write,0.276,0 days 00:00:58.301312
en,read,0.234,0 days 00:00:58.448216
eo,write,0.984,0 days 00:00:58.520705
eo,read,0.988,0 days 00:00:58.529817
es,write,0.595,0 days 00:00:58.461963
es,read,0.837,0 days 00:00:58.529651
fi,write,0.959,0 days 00:00:58.605476
fi,read,0.862,0 days 00:00:58.598279
fr,write,0.22,0 days 00:00:58.528003
fr,read,0.675,0 days 00:00:58.680255
fro,write,0.983,0 days 00:00:58.550892
fro,read,0.86,0 days 00:00:58.579574
it,write,0.923,0 days 00:00:58.527020
it,read,0.651,0 days 00:00:58.555908
ko,write,0.769,0 days 00:00:58.553482
ko,read,0.942,0 days 00:00:58.447583
nl,write,0.593,0 days 00:00:58.398483
nl,read,0.441,0 days 00:00:58.437771
pt,write,0.656,0 days 00:00:58.396349
pt,read,0.716,0 days 00:00:58.471210
ru,write,0.313,0 days 00:00:58.590046
ru,read,0.945,0 days 00:00:58.622432
sh,write,0.973,0 days 00:00:58.505749
sh,read,0.454,0 days 00:00:58.508245
tr,write,0.933,0 days 00:00:58.539329
tr,read,0.811,0 days 00:00:58.538617
zh,write,0.056,0 days 00:00:58.512117
zh,read,0.542,0 days 00:00:57.765416
