lang,task,test_accuracy,test_duration
sh,write,0.974,0 days 00:00:56.679229
sh,read,0.395,0 days 00:00:56.735805
tr,write,0.919,0 days 00:00:56.785259
tr,read,0.808,0 days 00:00:56.741238
zh,write,0.03,0 days 00:00:56.751582
zh,read,0.414,0 days 00:00:56.106069
ent,write,0.983,0 days 00:00:56.903176
ent,read,0.991,0 days 00:00:56.820568
eno,write,0.0,0 days 00:00:56.785680
eno,read,0.0,0 days 00:00:56.807667
ar,write,0.789,0 days 00:00:56.616979
ar,read,0.968,0 days 00:00:56.687658
br,write,0.719,0 days 00:00:56.565609
br,read,0.633,0 days 00:00:56.646237
de,write,0.544,0 days 00:00:56.730026
de,read,0.568,0 days 00:00:56.879506
en,write,0.253,0 days 00:00:56.512301
en,read,0.255,0 days 00:00:56.587141
eo,write,0.952,0 days 00:00:56.666488
eo,read,0.992,0 days 00:00:56.698509
es,write,0.571,0 days 00:00:56.592975
es,read,0.81,0 days 00:00:56.724146
fi,write,0.939,0 days 00:00:56.797052
fi,read,0.85,0 days 00:00:56.775994
fr,write,0.225,0 days 00:00:56.705292
fr,read,0.664,0 days 00:00:56.839368
fro,write,0.961,0 days 00:00:56.749419
fro,read,0.85,0 days 00:00:56.740078
it,write,0.91,0 days 00:00:56.703786
it,read,0.649,0 days 00:00:56.744548
ko,write,0.742,0 days 00:00:56.700472
ko,read,0.907,0 days 00:00:56.644076
nl,write,0.565,0 days 00:00:56.531185
nl,read,0.429,0 days 00:00:56.594459
pt,write,0.611,0 days 00:00:56.568974
pt,read,0.67,0 days 00:00:56.589305
ru,write,0.319,0 days 00:00:56.739648
ru,read,0.921,0 days 00:00:56.762965
sh,write,0.976,0 days 00:00:56.661810
sh,read,0.419,0 days 00:00:56.674048
tr,write,0.923,0 days 00:00:56.763253
tr,read,0.833,0 days 00:00:56.739258
zh,write,0.015,0 days 00:00:56.764543
zh,read,0.391,0 days 00:00:56.058527
ent,write,0.992,0 days 00:00:56.933757
ent,read,0.99,0 days 00:00:56.828820
eno,write,0.0,0 days 00:00:56.797887
eno,read,0.0,0 days 00:00:56.813411
ar,write,0.767,0 days 00:00:56.625320
ar,read,0.966,0 days 00:00:56.666875
br,write,0.706,0 days 00:00:56.529719
br,read,0.655,0 days 00:00:56.615674
de,write,0.522,0 days 00:00:56.794120
de,read,0.594,0 days 00:00:56.847546
en,write,0.235,0 days 00:00:56.541591
en,read,0.227,0 days 00:00:56.572971
eo,write,0.979,0 days 00:00:56.710817
eo,read,0.989,0 days 00:00:56.691171
es,write,0.574,0 days 00:00:56.641872
es,read,0.815,0 days 00:00:56.668735
fi,write,0.958,0 days 00:00:56.801640
fi,read,0.847,0 days 00:00:56.852632
fr,write,0.198,0 days 00:00:56.718577
fr,read,0.66,0 days 00:00:56.776510
fro,write,0.966,0 days 00:00:56.739301
fro,read,0.867,0 days 00:00:56.952081
it,write,0.911,0 days 00:00:57.280340
it,read,0.631,0 days 00:00:57.266326
ko,write,0.752,0 days 00:00:56.658281
ko,read,0.895,0 days 00:00:56.636002
nl,write,0.558,0 days 00:00:56.595183
nl,read,0.438,0 days 00:00:56.710724
pt,write,0.588,0 days 00:00:56.603402
pt,read,0.653,0 days 00:00:56.628969
ru,write,0.307,0 days 00:00:56.811070
ru,read,0.905,0 days 00:00:56.802099
sh,write,0.974,0 days 00:00:56.736576
sh,read,0.413,0 days 00:00:56.871294
tr,write,0.929,0 days 00:00:57.314700
tr,read,0.851,0 days 00:00:57.275024
zh,write,0.022,0 days 00:00:57.307449
zh,read,0.364,0 days 00:00:56.555503
ent,write,0.958,0 days 00:00:57.517400
ent,read,0.987,0 days 00:00:57.317323
eno,write,0.0,0 days 00:00:57.117637
eno,read,0.0,0 days 00:00:56.829642
ar,write,0.765,0 days 00:00:56.714057
ar,read,0.978,0 days 00:00:56.712559
br,write,0.726,0 days 00:00:56.581335
br,read,0.645,0 days 00:00:56.601225
