lang,task,test_accuracy,test_duration
ent,write,0.998,0 days 00:00:56.825523
ent,read,0.997,0 days 00:00:56.638531
eno,write,0.0,0 days 00:00:56.664953
eno,read,0.0,0 days 00:00:56.640115
ar,write,0.845,0 days 00:00:56.522789
ar,read,0.993,0 days 00:00:56.523950
br,write,0.826,0 days 00:00:56.360759
br,read,0.758,0 days 00:00:56.437635
de,write,0.69,0 days 00:00:56.639876
de,read,0.769,0 days 00:00:56.674975
en,write,0.355,0 days 00:00:56.341912
en,read,0.291,0 days 00:00:56.436773
eo,write,0.995,0 days 00:00:56.519600
eo,read,0.996,0 days 00:00:56.538988
es,write,0.681,0 days 00:00:56.553224
es,read,0.857,0 days 00:00:56.534908
fi,write,0.971,0 days 00:00:56.640489
fi,read,0.916,0 days 00:00:56.653316
fr,write,0.277,0 days 00:00:56.565711
fr,read,0.782,0 days 00:00:56.775323
fro,write,0.99,0 days 00:00:56.672008
fro,read,0.903,0 days 00:00:56.655463
it,write,0.961,0 days 00:00:56.631891
it,read,0.735,0 days 00:00:56.613159
ko,write,0.839,0 days 00:00:56.657652
ko,read,0.976,0 days 00:00:56.529802
nl,write,0.726,0 days 00:00:56.505889
nl,read,0.562,0 days 00:00:56.521059
pt,write,0.741,0 days 00:00:56.472604
pt,read,0.808,0 days 00:00:56.530037
ru,write,0.418,0 days 00:00:56.663257
ru,read,0.962,0 days 00:00:56.678021
sh,write,0.991,0 days 00:00:56.593100
sh,read,0.524,0 days 00:00:56.581076
tr,write,0.951,0 days 00:00:56.635151
tr,read,0.959,0 days 00:00:56.644830
zh,write,0.189,0 days 00:00:56.656275
zh,read,0.775,0 days 00:00:55.884235
ent,write,0.999,0 days 00:00:56.967807
ent,read,0.999,0 days 00:00:56.752411
eno,write,0.0,0 days 00:00:56.686424
eno,read,0.0,0 days 00:00:56.747867
ar,write,0.86,0 days 00:00:56.551349
ar,read,0.995,0 days 00:00:56.610808
br,write,0.794,0 days 00:00:56.428877
br,read,0.784,0 days 00:00:56.515606
de,write,0.67,0 days 00:00:56.771108
de,read,0.768,0 days 00:00:56.802253
en,write,0.384,0 days 00:00:56.475829
en,read,0.319,0 days 00:00:56.522750
eo,write,0.998,0 days 00:00:56.658542
eo,read,0.992,0 days 00:00:56.618586
es,write,0.658,0 days 00:00:56.607090
es,read,0.856,0 days 00:00:56.649167
fi,write,0.976,0 days 00:00:56.756877
fi,read,0.931,0 days 00:00:56.688344
fr,write,0.256,0 days 00:00:56.679476
fr,read,0.787,0 days 00:00:56.727542
fro,write,0.993,0 days 00:00:56.753808
fro,read,0.891,0 days 00:00:56.678755
it,write,0.942,0 days 00:00:56.686402
it,read,0.711,0 days 00:00:56.709363
ko,write,0.811,0 days 00:00:56.722536
ko,read,0.978,0 days 00:00:56.552125
nl,write,0.73,0 days 00:00:56.589553
nl,read,0.593,0 days 00:00:56.574549
pt,write,0.763,0 days 00:00:56.601839
pt,read,0.835,0 days 00:00:56.570151
ru,write,0.397,0 days 00:00:56.750168
ru,read,0.974,0 days 00:00:56.721038
sh,write,0.983,0 days 00:00:56.688768
sh,read,0.528,0 days 00:00:56.636545
tr,write,0.96,0 days 00:00:56.723260
tr,read,0.94,0 days 00:00:56.703137
zh,write,0.195,0 days 00:00:56.782896
zh,read,0.791,0 days 00:00:55.876397
ent,write,0.997,0 days 00:00:56.834057
ent,read,0.998,0 days 00:00:56.604772
eno,write,0.0,0 days 00:00:56.687306
eno,read,0.0,0 days 00:00:56.611186
ar,write,0.828,0 days 00:00:56.458866
ar,read,0.994,0 days 00:00:56.579162
br,write,0.791,0 days 00:00:56.346956
br,read,0.765,0 days 00:00:56.459562
de,write,0.718,0 days 00:00:56.655734
de,read,0.779,0 days 00:00:56.788402
en,write,0.379,0 days 00:00:56.366452
en,read,0.294,0 days 00:00:56.448013
eo,write,0.991,0 days 00:00:56.548263
eo,read,0.998,0 days 00:00:56.580673
es,write,0.682,0 days 00:00:56.513035
es,read,0.867,0 days 00:00:56.558155
fi,write,0.972,0 days 00:00:56.668536
