lang,task,test_accuracy,test_duration
de,read,0.706,0 days 00:00:56.805861
en,write,0.311,0 days 00:00:56.458473
en,read,0.283,0 days 00:00:56.500923
eo,write,0.99,0 days 00:00:56.690149
eo,read,0.997,0 days 00:00:56.655405
es,write,0.64,0 days 00:00:56.587515
es,read,0.843,0 days 00:00:56.698078
fi,write,0.969,0 days 00:00:56.734072
fi,read,0.891,0 days 00:00:56.795414
fr,write,0.262,0 days 00:00:56.694310
fr,read,0.744,0 days 00:00:56.834979
fro,write,0.99,0 days 00:00:56.734194
fro,read,0.886,0 days 00:00:56.720368
it,write,0.939,0 days 00:00:56.683028
it,read,0.714,0 days 00:00:56.693166
ko,write,0.783,0 days 00:00:56.711432
ko,read,0.954,0 days 00:00:56.627741
nl,write,0.703,0 days 00:00:56.537479
nl,read,0.51,0 days 00:00:56.604026
pt,write,0.719,0 days 00:00:56.558430
pt,read,0.805,0 days 00:00:56.587183
ru,write,0.376,0 days 00:00:56.728373
ru,read,0.957,0 days 00:00:56.810170
sh,write,0.986,0 days 00:00:56.669441
sh,read,0.527,0 days 00:00:56.633817
tr,write,0.948,0 days 00:00:56.670050
tr,read,0.917,0 days 00:00:56.675684
zh,write,0.122,0 days 00:00:56.739802
zh,read,0.662,0 days 00:00:56.095520
ent,write,0.989,0 days 00:00:56.912680
ent,read,0.995,0 days 00:00:56.774082
eno,write,0.0,0 days 00:00:56.801044
eno,read,0.0,0 days 00:00:56.723021
ar,write,0.817,0 days 00:00:56.786245
ar,read,0.993,0 days 00:00:56.839352
br,write,0.783,0 days 00:00:56.426245
br,read,0.756,0 days 00:00:56.541907
de,write,0.659,0 days 00:00:56.653669
de,read,0.746,0 days 00:00:57.074597
en,write,0.325,0 days 00:00:56.414369
en,read,0.269,0 days 00:00:56.461325
eo,write,0.986,0 days 00:00:56.641081
eo,read,0.996,0 days 00:00:56.593168
es,write,0.642,0 days 00:00:56.614318
es,read,0.843,0 days 00:00:56.613858
fi,write,0.967,0 days 00:00:56.778640
fi,read,0.893,0 days 00:00:56.711942
fr,write,0.23,0 days 00:00:56.663077
fr,read,0.782,0 days 00:00:56.823202
fro,write,0.978,0 days 00:00:56.721320
fro,read,0.876,0 days 00:00:56.680692
it,write,0.934,0 days 00:00:56.594122
it,read,0.675,0 days 00:00:56.669002
ko,write,0.803,0 days 00:00:56.651113
ko,read,0.965,0 days 00:00:56.549857
nl,write,0.653,0 days 00:00:56.534448
nl,read,0.538,0 days 00:00:56.636189
pt,write,0.678,0 days 00:00:56.516243
pt,read,0.785,0 days 00:00:56.587114
ru,write,0.351,0 days 00:00:56.763849
ru,read,0.967,0 days 00:00:56.710184
sh,write,0.987,0 days 00:00:56.680913
sh,read,0.473,0 days 00:00:56.628443
tr,write,0.948,0 days 00:00:56.689731
tr,read,0.931,0 days 00:00:56.745922
zh,write,0.135,0 days 00:00:56.792258
zh,read,0.668,0 days 00:00:55.946842
ent,write,0.997,0 days 00:00:57.400913
ent,read,1.0,0 days 00:00:57.281548
eno,write,0.0,0 days 00:00:57.300582
eno,read,0.0,0 days 00:00:57.343420
ar,write,0.82,0 days 00:00:57.134400
ar,read,0.988,0 days 00:00:57.205238
br,write,0.744,0 days 00:00:57.018345
br,read,0.713,0 days 00:00:57.204592
de,write,0.622,0 days 00:00:57.309734
de,read,0.697,0 days 00:00:57.399049
en,write,0.331,0 days 00:00:57.037168
en,read,0.305,0 days 00:00:56.640568
eo,write,0.99,0 days 00:00:56.753917
eo,read,0.994,0 days 00:00:56.735046
es,write,0.623,0 days 00:00:56.731574
es,read,0.861,0 days 00:00:56.765451
fi,write,0.97,0 days 00:00:56.816422
fi,read,0.911,0 days 00:00:56.790776
fr,write,0.291,0 days 00:00:56.717248
fr,read,0.746,0 days 00:00:56.855430
fro,write,0.987,0 days 00:00:56.767393
fro,read,0.879,0 days 00:00:56.783159
it,write,0.941,0 days 00:00:56.823103
it,read,0.723,0 days 00:00:56.787006
ko,write,0.8,0 days 00:00:56.835746
ko,read,0.968,0 days 00:00:56.640116
nl,write,0.692,0 days 00:00:56.615005
nl,read,0.489,0 days 00:00:56.634560
pt,write,0.688,0 days 00:00:56.603141
pt,read,0.755,0 days 00:00:56.679160
ru,write,0.364,0 days 00:00:56.773541
ru,read,0.973,0 days 00:00:56.818119
sh,write,0.99,0 days 00:00:56.670598
sh,read,0.481,0 days 00:00:56.747349
tr,write,0.937,0 days 00:00:56.830595
tr,read,0.931,0 days 00:00:56.812634
zh,write,0.142,0 days 00:00:56.869281
zh,read,0.664,0 days 00:00:56.053701
ent,write,0.984,0 days 00:00:57.561766
ent,read,0.99,0 days 00:00:57.362387
eno,write,0.0,0 days 00:00:57.383261
eno,read,0.0,0 days 00:00:57.379101
ar,write,0.835,0 days 00:00:57.157693
ar,read,0.991,0 days 00:00:57.208630
br,write,0.752,0 days 00:00:57.030791
br,read,0.71,0 days 00:00:57.179822
de,write,0.632,0 days 00:00:57.331458
de,read,0.699,0 days 00:00:57.441115
en,write,0.341,0 days 00:00:57.082678
en,read,0.29,0 days 00:00:57.149395
eo,write,0.979,0 days 00:00:57.237579
eo,read,0.985,0 days 00:00:57.230648
es,write,0.633,0 days 00:00:57.199444
es,read,0.83,0 days 00:00:57.237381
fi,write,0.958,0 days 00:00:57.354336
fi,read,0.886,0 days 00:00:57.373303
fr,write,0.253,0 days 00:00:57.254145
fr,read,0.742,0 days 00:00:57.467611
fro,write,0.983,0 days 00:00:57.296006
fro,read,0.878,0 days 00:00:57.271383
it,write,0.933,0 days 00:00:57.212726
it,read,0.71,0 days 00:00:57.263148
ko,write,0.769,0 days 00:00:57.285493
ko,read,0.964,0 days 00:00:57.148668
nl,write,0.662,0 days 00:00:57.128779
nl,read,0.506,0 days 00:00:57.212180
pt,write,0.701,0 days 00:00:57.098144
pt,read,0.783,0 days 00:00:57.173798
ru,write,0.413,0 days 00:00:57.292586
ru,read,0.945,0 days 00:00:57.319825
sh,write,0.986,0 days 00:00:57.258780
sh,read,0.525,0 days 00:00:57.264259
tr,write,0.946,0 days 00:00:57.344443
tr,read,0.918,0 days 00:00:57.294844
zh,write,0.137,0 days 00:00:57.310499
zh,read,0.674,0 days 00:00:56.559567
ent,write,0.996,0 days 00:00:56.951779
ent,read,0.994,0 days 00:00:56.837113
eno,write,0.0,0 days 00:00:56.794149
eno,read,0.0,0 days 00:00:56.790251
ar,write,0.831,0 days 00:00:56.565417
ar,read,0.986,0 days 00:00:56.695048
br,write,0.759,0 days 00:00:56.535830
br,read,0.744,0 days 00:00:56.620532
de,write,0.634,0 days 00:00:56.762122
de,read,0.721,0 days 00:00:56.870927
en,write,0.316,0 days 00:00:56.548426
en,read,0.298,0 days 00:00:56.598088
eo,write,0.986,0 days 00:00:56.718660
eo,read,0.994,0 days 00:00:57.169079
es,write,0.626,0 days 00:00:57.128809
es,read,0.85,0 days 00:00:57.188375
fi,write,0.967,0 days 00:00:57.306442
fi,read,0.896,0 days 00:00:57.280292
fr,write,0.248,0 days 00:00:57.198664
fr,read,0.759,0 days 00:00:57.102221
fro,write,0.988,0 days 00:00:56.760423
fro,read,0.879,0 days 00:00:56.704152
it,write,0.952,0 days 00:00:56.728608
it,read,0.682,0 days 00:00:56.736280
ko,write,0.803,0 days 00:00:56.778087
ko,read,0.958,0 days 00:00:56.596527
nl,write,0.697,0 days 00:00:56.633838
nl,read,0.521,0 days 00:00:56.669248
pt,write,0.701,0 days 00:00:56.634536
pt,read,0.765,0 days 00:00:56.680529
ru,write,0.369,0 days 00:00:56.835463
ru,read,0.969,0 days 00:00:56.852283
sh,write,0.99,0 days 00:00:56.781768
sh,read,0.485,0 days 00:00:56.743483
tr,write,0.949,0 days 00:00:56.755333
tr,read,0.924,0 days 00:00:56.790783
zh,write,0.11,0 days 00:00:56.648064
zh,read,0.651,0 days 00:00:56.108394
ent,write,0.998,0 days 00:00:56.853685
ent,read,0.994,0 days 00:00:56.827902
eno,write,0.0,0 days 00:00:57.123241
eno,read,0.0,0 days 00:00:57.331297
ar,write,0.824,0 days 00:00:57.168342
ar,read,0.987,0 days 00:00:57.206407
br,write,0.759,0 days 00:00:57.051327
br,read,0.716,0 days 00:00:57.121601
de,write,0.63,0 days 00:00:57.362246
de,read,0.718,0 days 00:00:57.415875
en,write,0.31,0 days 00:00:57.048353
en,read,0.244,0 days 00:00:56.656191
eo,write,0.989,0 days 00:00:56.688813
eo,read,0.998,0 days 00:00:56.755013
es,write,0.669,0 days 00:00:56.725008
es,read,0.851,0 days 00:00:56.744815
fi,write,0.975,0 days 00:00:56.876392
fi,read,0.911,0 days 00:00:56.873627
fr,write,0.248,0 days 00:00:57.273745
fr,read,0.711,0 days 00:00:57.340438
fro,write,0.988,0 days 00:00:56.699601
fro,read,0.878,0 days 00:00:56.838893
it,write,0.945,0 days 00:00:56.813708
it,read,0.703,0 days 00:00:56.825652
ko,write,0.81,0 days 00:00:56.812994
ko,read,0.964,0 days 00:00:56.663773
nl,write,0.685,0 days 00:00:56.701863
nl,read,0.52,0 days 00:00:56.647321
pt,write,0.689,0 days 00:00:56.628876
pt,read,0.753,0 days 00:00:56.645515
ru,write,0.351,0 days 00:00:57.113008
ru,read,0.946,0 days 00:00:57.384871
sh,write,0.989,0 days 00:00:57.209640
sh,read,0.473,0 days 00:00:57.199519
tr,write,0.939,0 days 00:00:57.262524
tr,read,0.909,0 days 00:00:57.330588
zh,write,0.104,0 days 00:00:57.364009
zh,read,0.647,0 days 00:00:56.553254
ent,write,0.998,0 days 00:00:57.495094
ent,read,0.995,0 days 00:00:57.372114
eno,write,0.0,0 days 00:00:57.408017
eno,read,0.0,0 days 00:00:57.437484
ar,write,0.82,0 days 00:00:57.206999
ar,read,0.988,0 days 00:00:57.275832
br,write,0.754,0 days 00:00:57.125502
br,read,0.719,0 days 00:00:57.140659
de,write,0.647,0 days 00:00:57.321454
de,read,0.719,0 days 00:00:57.453933
en,write,0.317,0 days 00:00:57.030933
en,read,0.271,0 days 00:00:57.168922
eo,write,0.993,0 days 00:00:57.211549
eo,read,0.995,0 days 00:00:57.207926
es,write,0.644,0 days 00:00:57.178016
es,read,0.848,0 days 00:00:57.237299
fi,write,0.974,0 days 00:00:57.379454
fi,read,0.894,0 days 00:00:57.351951
fr,write,0.242,0 days 00:00:57.235694
fr,read,0.73,0 days 00:00:57.460573
fro,write,0.986,0 days 00:00:57.325947
fro,read,0.903,0 days 00:00:57.322761
it,write,0.941,0 days 00:00:57.246929
it,read,0.673,0 days 00:00:57.292265
ko,write,0.792,0 days 00:00:57.292887
ko,read,0.96,0 days 00:00:57.232437
nl,write,0.687,0 days 00:00:57.174272
nl,read,0.51,0 days 00:00:57.187288
pt,write,0.683,0 days 00:00:57.117944
pt,read,0.76,0 days 00:00:57.177916
ru,write,0.375,0 days 00:00:57.406700
ru,read,0.95,0 days 00:00:57.366238
sh,write,0.988,0 days 00:00:57.252118
sh,read,0.474,0 days 00:00:57.261537
tr,write,0.936,0 days 00:00:57.305864
tr,read,0.893,0 days 00:00:57.295557
zh,write,0.13,0 days 00:00:57.346657
zh,read,0.657,0 days 00:00:56.601318
ent,write,0.992,0 days 00:00:56.960234
ent,read,0.996,0 days 00:00:56.849384
eno,write,0.0,0 days 00:00:56.845793
eno,read,0.0,0 days 00:00:56.778252
ar,write,0.795,0 days 00:00:56.620960
ar,read,0.991,0 days 00:00:56.722081
br,write,0.757,0 days 00:00:56.489100
br,read,0.719,0 days 00:00:56.606979
de,write,0.65,0 days 00:00:56.801471
de,read,0.705,0 days 00:00:56.932712
en,write,0.321,0 days 00:00:56.586287
en,read,0.279,0 days 00:00:56.611307
eo,write,0.987,0 days 00:00:56.718458
eo,read,0.993,0 days 00:00:56.742361
es,write,0.653,0 days 00:00:56.697955
es,read,0.816,0 days 00:00:56.680308
fi,write,0.967,0 days 00:00:56.815287
fi,read,0.901,0 days 00:00:56.820719
fr,write,0.262,0 days 00:00:56.708775
fr,read,0.773,0 days 00:00:56.855032
fro,write,0.987,0 days 00:00:56.757890
fro,read,0.868,0 days 00:00:56.746605
it,write,0.928,0 days 00:00:56.730653
it,read,0.693,0 days 00:00:56.713210
ko,write,0.818,0 days 00:00:56.749326
ko,read,0.952,0 days 00:00:56.676661
nl,write,0.693,0 days 00:00:56.579453
nl,read,0.52,0 days 00:00:56.648614
pt,write,0.707,0 days 00:00:56.602596
pt,read,0.786,0 days 00:00:56.615042
ru,write,0.385,0 days 00:00:56.820938
ru,read,0.954,0 days 00:00:56.765244
sh,write,0.987,0 days 00:00:56.684390
sh,read,0.502,0 days 00:00:56.734913
tr,write,0.933,0 days 00:00:56.715273
tr,read,0.907,0 days 00:00:56.791507
zh,write,0.129,0 days 00:00:56.789745
zh,read,0.673,0 days 00:00:56.057163
