lang,task,test_accuracy,test_duration
ent,write,0.997,0 days 00:00:56.855139
ent,read,0.998,0 days 00:00:56.711724
eno,write,0.0,0 days 00:00:56.675891
eno,read,0.0,0 days 00:00:56.722624
ar,write,0.81,0 days 00:00:56.498876
ar,read,0.985,0 days 00:00:56.640425
br,write,0.787,0 days 00:00:56.373752
br,read,0.718,0 days 00:00:56.448741
de,write,0.634,0 days 00:00:56.655820
de,read,0.736,0 days 00:00:56.682659
en,write,0.312,0 days 00:00:56.423633
en,read,0.272,0 days 00:00:56.459875
eo,write,0.985,0 days 00:00:56.540199
eo,read,1.0,0 days 00:00:56.517958
es,write,0.624,0 days 00:00:56.500645
es,read,0.859,0 days 00:00:56.543869
fi,write,0.963,0 days 00:00:56.662933
fi,read,0.898,0 days 00:00:56.680433
fr,write,0.238,0 days 00:00:56.597727
fr,read,0.766,0 days 00:00:56.672163
fro,write,0.984,0 days 00:00:56.682059
fro,read,0.889,0 days 00:00:56.615211
it,write,0.933,0 days 00:00:56.605671
it,read,0.683,0 days 00:00:56.608798
ko,write,0.8,0 days 00:00:56.579892
ko,read,0.965,0 days 00:00:56.476185
nl,write,0.656,0 days 00:00:56.453736
nl,read,0.516,0 days 00:00:56.524864
pt,write,0.717,0 days 00:00:56.481429
pt,read,0.763,0 days 00:00:56.478215
ru,write,0.399,0 days 00:00:56.658799
ru,read,0.954,0 days 00:00:56.646292
sh,write,0.983,0 days 00:00:56.553404
sh,read,0.499,0 days 00:00:56.569400
tr,write,0.933,0 days 00:00:56.621114
tr,read,0.923,0 days 00:00:56.596981
zh,write,0.113,0 days 00:00:56.640968
zh,read,0.685,0 days 00:00:55.898586
ent,write,0.993,0 days 00:00:57.494272
ent,read,0.997,0 days 00:00:57.529078
eno,write,0.0,0 days 00:00:57.474172
eno,read,0.0,0 days 00:00:57.501688
ar,write,0.796,0 days 00:00:57.249189
ar,read,0.988,0 days 00:00:57.391174
br,write,0.776,0 days 00:00:57.086204
br,read,0.743,0 days 00:00:57.206916
de,write,0.672,0 days 00:00:57.390196
de,read,0.746,0 days 00:00:57.471647
en,write,0.316,0 days 00:00:57.139728
en,read,0.303,0 days 00:00:57.103420
eo,write,0.982,0 days 00:00:57.379084
eo,read,0.993,0 days 00:00:57.275544
es,write,0.637,0 days 00:00:57.275971
es,read,0.864,0 days 00:00:57.279774
fi,write,0.963,0 days 00:00:57.315918
fi,read,0.899,0 days 00:00:57.377440
fr,write,0.252,0 days 00:00:57.294440
fr,read,0.777,0 days 00:00:57.387148
fro,write,0.99,0 days 00:00:57.366355
fro,read,0.897,0 days 00:00:57.242622
it,write,0.943,0 days 00:00:57.298601
it,read,0.688,0 days 00:00:57.251803
ko,write,0.793,0 days 00:00:57.273888
ko,read,0.97,0 days 00:00:57.231243
nl,write,0.68,0 days 00:00:57.161840
nl,read,0.514,0 days 00:00:57.196510
pt,write,0.712,0 days 00:00:57.154557
pt,read,0.819,0 days 00:00:57.122414
ru,write,0.379,0 days 00:00:57.310107
ru,read,0.96,0 days 00:00:57.359678
sh,write,0.985,0 days 00:00:57.242392
sh,read,0.517,0 days 00:00:57.229489
tr,write,0.943,0 days 00:00:57.351257
tr,read,0.948,0 days 00:00:57.385019
zh,write,0.126,0 days 00:00:57.311678
zh,read,0.664,0 days 00:00:56.586752
ent,write,0.998,0 days 00:00:57.465273
ent,read,0.999,0 days 00:00:57.335024
eno,write,0.0,0 days 00:00:57.296454
eno,read,0.0,0 days 00:00:57.351289
ar,write,0.814,0 days 00:00:57.162717
ar,read,0.992,0 days 00:00:57.194675
br,write,0.785,0 days 00:00:57.049801
br,read,0.731,0 days 00:00:57.134512
de,write,0.639,0 days 00:00:57.356329
de,read,0.707,0 days 00:00:57.367167
en,write,0.331,0 days 00:00:57.013700
en,read,0.299,0 days 00:00:57.035597
eo,write,0.981,0 days 00:00:57.218605
eo,read,0.991,0 days 00:00:57.212982
es,write,0.633,0 days 00:00:57.127259
es,read,0.855,0 days 00:00:57.177887
fi,write,0.975,0 days 00:00:57.245883
fi,read,0.909,0 days 00:00:57.270379
fr,write,0.249,0 days 00:00:57.184986
fr,read,0.765,0 days 00:00:57.300771
fro,write,0.985,0 days 00:00:57.303118
fro,read,0.87,0 days 00:00:57.204861
it,write,0.935,0 days 00:00:56.723896
it,read,0.692,0 days 00:00:56.731574
ko,write,0.789,0 days 00:00:56.789129
ko,read,0.956,0 days 00:00:56.628845
nl,write,0.683,0 days 00:00:56.556812
nl,read,0.528,0 days 00:00:56.667783
pt,write,0.726,0 days 00:00:56.568755
pt,read,0.766,0 days 00:00:56.635286
ru,write,0.392,0 days 00:00:56.801119
ru,read,0.97,0 days 00:00:56.793473
sh,write,0.985,0 days 00:00:56.698995
sh,read,0.505,0 days 00:00:56.690820
tr,write,0.93,0 days 00:00:56.752503
tr,read,0.939,0 days 00:00:56.697364
zh,write,0.133,0 days 00:00:56.775854
zh,read,0.678,0 days 00:00:56.007770
ent,write,0.997,0 days 00:00:57.441535
ent,read,0.999,0 days 00:00:57.268886
eno,write,0.0,0 days 00:00:56.825384
eno,read,0.0,0 days 00:00:56.759283
ar,write,0.807,0 days 00:00:56.601563
ar,read,0.99,0 days 00:00:56.719534
br,write,0.797,0 days 00:00:56.485060
br,read,0.747,0 days 00:00:56.574620
de,write,0.642,0 days 00:00:56.751942
